variable_name,standardized_title,standardized_label,wave,file,codebook_file,block,question_label,question_text,item_text,question_type,dtype_observed,rows,nonempty_n,valid_n,missing_pct,unique_valid_values,example_values_raw,example_values_decoded,top_value_counts,value_labels,codebook_comment,display_skip_logic,migration_family
w1_q198,Erosion (Home Village) Impact Household,erosn_home_villg_impct_hh,w1,bemp_w1.csv,bemp_w1_codebook.csv,Erosion 2020 - Impact and Coping,Erosion (Home Village) Impact Household,"Has last year’s (2020) erosion had an impact on your household? [note: if respondents start telling story about how they have been affected by erosion in a year previous to 2020, politely focus them that now we are only interested in the erosion of 2020]",,Single Choice,integer-coded,2170,2170,2069,4.65,2,"[""1"", ""2""]","[""Yes"", ""No""]","{""1"": 1232, ""2"": 837}","{""1"": ""Yes"", ""2"": ""No"", ""-9"": ""RA""}","This variable refers to different time periods in different survey waves, namely to the last year in the in-person surveys (w1, w6_N, w6_M, w12_N, w12_M, w14_N, and w14_M), and to the last month in the phone surveys.","If (w1_q187 [Erosion (Home Village) Land Amount] = ""Very little erosion"" OR w1_q187 [Erosion (Home Village) Land Amount] = ""Little erosion"" OR w1_q187 [Erosion (Home Village) Land Amount] = ""Some erosion"" OR w1_q187 [Erosion (Home Village) Land Amount] = ""Much erosion"" OR w1_q187 [Erosion (Home Village) Land Amount] = ""Very much erosion"") | |",environmental shock/exposure
w1_q202,Erosion (Home Village) Land Loss Amount,erosn_home_villg_land_loss_amt,w1,bemp_w1.csv,bemp_w1_codebook.csv,Erosion 2020 - Impact and Coping,Erosion (Home Village) Land Loss Amount,You said that you lost land. How much land did you lose? [enter in the unit indicated by respondent],,Single Choice,integer-coded,2170,2170,475,78.11,6,"[""4"", ""2"", ""3"", ""1"", ""8"", ""5""]","[""Bigha:"", ""Shotangsho / decimal / cent:"", ""Katha:"", ""Acre:"", ""Other unit [enter value and unit]:"", ""Kora:""]","{""4"": 265, ""2"": 128, ""3"": 55, ""1"": 24, ""8"": 2, ""5"": 1}","{""1"": ""Acre:"", ""2"": ""Shotangsho / decimal / cent:"", ""3"": ""Katha:"", ""4"": ""Bigha:"", ""5"": ""Kora:"", ""6"": ""Square feet:"", ""7"": ""Square meters:"", ""8"": ""Other unit [enter value and unit]:"", ""-8"": ""DK"", ""-9"": ""RA""}",,"If (w1_q187 [Erosion (Home Village) Land Amount] = ""Very little erosion"" OR w1_q187 [Erosion (Home Village) Land Amount] = ""Little erosion"" OR w1_q187 [Erosion (Home Village) Land Amount] = ""Some erosion"" OR w1_q187 [Erosion (Home Village) Land Amount] = ""Much erosion"" OR w1_q187 [Erosion (Home Village) Land Amount] = ""Very much erosion"") | If (w1_q199 [Erosion (Home Village) Impact Types] = ""Partial loss of land"" OR w1_q199 [Erosion (Home Village) Impact Types] = ""Total loss of land"") AND w1_reg3 [Respondent Type] = ""Household head"" |",environmental shock/exposure
w1_q202_txt,Erosion (Home Village) Land Loss Amount,erosn_home_villg_land_loss_amt_txt,w1,bemp_w1.csv,bemp_w1_codebook.csv,Erosion 2020 - Impact and Coping,Erosion (Home Village) Land Loss Amount,You said that you lost land. How much land did you lose? [enter in the unit indicated by respondent],,Open Text Box,string,2170,2170,475,78.11,56,"[""1"", ""2"", ""10"", ""3"", ""5"", ""4"", ""8"", ""15""]","[""1"", ""2"", ""10"", ""3"", ""5"", ""4"", ""8"", ""15""]","{""1"": 57, ""2"": 50, ""10"": 49, ""3"": 40, ""5"": 28, ""4"": 22, ""8"": 21, ""15"": 19, ""20"": 19, ""1.5"": 15}",{},,"If (w1_q187 [Erosion (Home Village) Land Amount] = ""Very little erosion"" OR w1_q187 [Erosion (Home Village) Land Amount] = ""Little erosion"" OR w1_q187 [Erosion (Home Village) Land Amount] = ""Some erosion"" OR w1_q187 [Erosion (Home Village) Land Amount] = ""Much erosion"" OR w1_q187 [Erosion (Home Village) Land Amount] = ""Very much erosion"") | If (w1_q199 [Erosion (Home Village) Impact Types] = ""Partial loss of land"" OR w1_q199 [Erosion (Home Village) Impact Types] = ""Total loss of land"") AND w1_reg3 [Respondent Type] = ""Household head"" |",environmental shock/exposure
w1_q234,Flood (Home Village) Duration,flood_home_villg_durat,w1,bemp_w1.csv,bemp_w1_codebook.csv,Flooding 2020 - Perception,Flood (Home Village) Duration,How long did the water stay around your home during last year’s (2020) monsoon flooding? [enter in the unit indicated by respondent],,Single Choice,integer-coded,2170,2170,1820,16.13,3,"[""3"", ""1"", ""2""]","[""[number of months]:"", ""[number of days]:"", ""[number of weeks]:""]","{""3"": 1254, ""1"": 486, ""2"": 80}","{""1"": ""[number of days]:"", ""2"": ""[number of weeks]:"", ""3"": ""[number of months]:"", ""-8"": ""DK"", ""-9"": ""RA""}",,"| If w1_q232 [Flood (Home Village) Water Height] != ""There was no water around my home in 2020"" |",environmental shock/exposure
w1_q234_txt,Flood (Home Village) Duration,flood_home_villg_durat_txt,w1,bemp_w1.csv,bemp_w1_codebook.csv,Flooding 2020 - Perception,Flood (Home Village) Duration,How long did the water stay around your home during last year’s (2020) monsoon flooding? [enter in the unit indicated by respondent],,Open Text Box,continuous numeric,2170,2170,1820,16.13,55,"[""2"", ""3"", ""1"", ""15"", ""4"", ""1.5"", ""20"", ""5""]","[""2"", ""3"", ""1"", ""15"", ""4"", ""1.5"", ""20"", ""5""]","{""2"": 349, ""3"": 321, ""1"": 321, ""15"": 124, ""4"": 124, ""1.5"": 86, ""20"": 82, ""5"": 59, ""25"": 50, ""6"": 37}",{},,"| If w1_q232 [Flood (Home Village) Water Height] != ""There was no water around my home in 2020"" |",environmental shock/exposure
w1_q235,Flood (Home Village) Impact Household,flood_home_villg_impct_hh,w1,bemp_w1.csv,bemp_w1_codebook.csv,Flooding 2020 - Impact and Coping,Flood (Home Village) Impact Household,"Has last year’s (2020) flooding had an impact on your household? [note: if respondents start telling story about how they have been affected by flooding in a year previous to 2020, politely focus them that now we are only interested in the flooding of 2020]",,Single Choice,integer-coded,2170,2170,1972,9.12,2,"[""1"", ""2""]","[""Yes"", ""No""]","{""1"": 1756, ""2"": 216}","{""1"": ""Yes"", ""2"": ""No"", ""-9"": ""RA""}","This variable refers to different time periods in different survey waves, namely to the last year in the in-person surveys (w1, w6_N, w6_M, w12_N, w12_M, w14_N, and w14_M), and to the last month in the phone surveys.","If w1_q232 [Flood (Home Village) Water Height] != ""There was no water around my home in 2020"" | |",environmental shock/exposure
w1_q239,Flood (Home Village) Land Loss Amount,flood_home_villg_land_loss_amt,w1,bemp_w1.csv,bemp_w1_codebook.csv,Flooding 2020 - Impact and Coping,Flood (Home Village) Land Loss Amount,You said that you lost land. How much land did you lose? [enter in the unit indicated by respondent],,Single Choice,integer-coded,2170,2170,83,96.18,4,"[""4"", ""2"", ""3"", ""1""]","[""Bigha:"", ""Shotangsho / decimal / cent:"", ""Katha:"", ""Acre:""]","{""4"": 45, ""2"": 26, ""3"": 6, ""1"": 6}","{""1"": ""Acre:"", ""2"": ""Shotangsho / decimal / cent:"", ""3"": ""Katha:"", ""4"": ""Bigha:"", ""5"": ""Kora:"", ""6"": ""Square feet:"", ""7"": ""Square meters:"", ""8"": ""Other unit [enter value and unit]:"", ""-8"": ""DK"", ""-9"": ""RA""}",,"If w1_q232 [Flood (Home Village) Water Height] != ""There was no water around my home in 2020"" | If (w1_q236 [Flood (Home Village) Impact Types] = ""Partial loss of land"" OR w1_q236 [Flood (Home Village) Impact Types] = ""Total loss of land"") AND w1_reg3 [Respondent Type] = ""Household head"" |",environmental shock/exposure
w1_q239_txt,Flood (Home Village) Land Loss Amount,flood_home_villg_land_loss_amt_txt,w1,bemp_w1.csv,bemp_w1_codebook.csv,Flooding 2020 - Impact and Coping,Flood (Home Village) Land Loss Amount,You said that you lost land. How much land did you lose? [enter in the unit indicated by respondent],,Open Text Box,continuous numeric,2170,2170,83,96.18,34,"[""10"", ""1"", ""3"", ""5"", ""20"", ""2"", ""30"", ""8""]","[""10"", ""1"", ""3"", ""5"", ""20"", ""2"", ""30"", ""8""]","{""10"": 9, ""1"": 9, ""3"": 7, ""5"": 5, ""20"": 4, ""2"": 4, ""30"": 4, ""8"": 3, ""0.5"": 3, ""15"": 3}",{},,"If w1_q232 [Flood (Home Village) Water Height] != ""There was no water around my home in 2020"" | If (w1_q236 [Flood (Home Village) Impact Types] = ""Partial loss of land"" OR w1_q236 [Flood (Home Village) Impact Types] = ""Total loss of land"") AND w1_reg3 [Respondent Type] = ""Household head"" |",environmental shock/exposure
w1_q42a,Household Member Migration,hh_membr_migr,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Member Migration,"Within the last 5 years, meaning since 2016, have you or members of your household left for other places or abroad?",,Single Choice,integer-coded,2170,2170,1708,21.29,2,"[""2"", ""1""]","[""No"", ""Yes [double-check that migration occurred indeed within past 5 years]""]","{""2"": 1294, ""1"": 414}","{""1"": ""Yes [double-check that migration occurred indeed within past 5 years]"", ""2"": ""No"", ""-8"": ""DK"", ""-9"": ""RA""}","This variable refers to different time periods in different survey waves, namely to the last 5 years in w1, to the last year in the other in-person surveys (w6_N, w6_M, w12_N, w12_M, w14_N, and w14_M), and to the last month in the phone surveys.","If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_reg3 [Respondent Type] = ""Household head"" | If ""Yes [double-check that migr..."" is selected, skip to: w1_q44 [Migration Participants]",individual-versus-household movement
w1_q43a,Household Member Migration (Follow-Up),hh_membr_migr_fllw_up,w1,bemp_w1.csv,bemp_w1_codebook.csv,Household Composition and Migration History,Household Member Migration (Follow-Up),"With “leave”, we mean both leaving for short periods of time as well as for long periods of time. Have you or household members left in the past five years? [ATTENTION: BRANCHING QUESTION]",,Single Choice,integer-coded,2170,2170,1192,45.07,2,"[""2"", ""1""]","[""No"", ""Yes [double-check that migration occurred indeed within past 5 years]""]","{""2"": 1158, ""1"": 34}","{""1"": ""Yes [double-check that migration occurred indeed within past 5 years]"", ""2"": ""No"", ""-8"": ""DK"", ""-9"": ""RA""}","This variable refers to different time periods in different survey waves, namely to the last 5 years in w1, to the last year in the other in-person surveys (w6_N, w6_M, w12_N, w12_M, w14_N, and w14_M), and to the last month in the phone surveys.","If (w1_reg3 [Respondent Type] = ""Household head"" OR w1_reg3 [Respondent Type] = ""Youth"") | If w1_reg3 [Respondent Type] = ""Household head"" | If ""Yes [double-check that migr..."" is not selected, skip to: End of Block",individual-versus-household movement
