district,district_pcode,district_geometry_name,division_geometry_name,district_geodesic_area_m2,worldcover_valid_mapped_area_m2,worldcover_permanent_water_area_m2,worldcover_valid_land_area_m2,worldcover_cropland_area_m2_2020,worldcover_built_class_area_m2_2020,worldcover_valid_coverage_share,worldcover_cropland_share_2020,ghsl_built_surface_m2_2020,ghsl_valid_allocated_area_m2,ghsl_valid_coverage_share,ghsl_built_surface_share_2020,travel_time_city_ge_50k_median_2015,accessibility_valid_area_m2,accessibility_valid_cell_count,accessibility_valid_geometry_coverage_share,accessibility_valid_land_coverage_share,gfd_raw_flooded_allocated_area_m2_before_worldcover_land_mask,gfd_ever_flooded_land_area_m2_2000_2018,gfd_raster_allocated_area_m2,gfd_flooded_pixel_count,gfd_ever_flooded_land_share_2000_2018
Bagerhat,BD4001,Bagerhat,Khulna,3646184292.3496714,3655457232.0789447,342468605.6935876,3312988626.385357,945655564.7620041,10435243.811271673,1.0025431900819521,0.285438820173,26882959.132658854,3663572992.0,1.0047690128243965,0.00811441334828534,26.0,3571606182.1974545,4823,0.9795462587262266,1.0780617095248717,1022373334.3859289,800265739.7677948,3655369746.2419796,23824,0.24155402568976714
Bandarban,BD2003,Bandarban,Chittagong,4595257845.8928795,4607368293.838133,3495779.588828831,4603872514.249304,101956297.27873453,2634053.886869771,1.002635422940647,0.02214576901579545,10802652.087620538,4617674752.0,1.004878269481038,0.002346427285765534,89.0,4606460289.444698,6129,1.0024378269789216,1.0005620866319354,0.0,0.0,4607208775.672592,332,0.0
Barguna,BD1004,Barguna,Barisal,1345650529.1614115,1348921810.2613137,68863566.16165236,1280058244.0996614,750257920.7178831,4536197.051618147,1.002431003465618,0.5861123305725692,12895496.294930212,1352108160.0,1.004798891464497,0.010074148074410752,18.0,1286731201.2494884,1796,0.9562149855143737,1.005213010564625,211593022.49375284,197310961.00357226,1349057058.9544604,8201,0.15414217432141333
Barishal,BD1006,Barisal,Barisal,2219580919.0786886,2225062966.11037,231722078.54509115,1993340887.565279,907753740.5567404,13698822.354824042,1.0024698568024981,0.45539312729670417,29105479.371449906,2230040832.0,1.0047125621018824,0.014601355720445856,15.0,2130386356.1321664,2997,0.9598146829521559,1.0687516467563551,440618185.52940094,322491521.93367195,2225063040.6364517,15690,0.16178443132602968
Bhola,BD1009,Bhola,Barisal,1948543697.138975,1953509834.5781708,256196317.119726,1697313517.4584448,796448828.8610023,5615915.900398642,1.0025486405290718,0.4692408448225899,14031922.557762688,1957846016.0,1.0047739852458446,0.008267136515105395,19.0,1721940398.9570765,2357,0.8837063297504606,1.0145093297409826,338409982.87293893,230993591.2501182,1953403605.7626579,17451,0.13609364968471335
Bogura,BD5010,Bogra,Rajshahi,2912594161.258918,2918772610.231833,196471874.6595332,2722300735.5723,1985148806.38512,35803385.968911335,1.0021212872892131,0.7292173052173051,95585818.16032842,2925304499.0,1.004363923374614,0.0351121449997455,17.0,2918247314.9654922,4021,1.0019409342303052,1.0719783001314875,1407621406.9299464,1238040674.751039,2918699564.874394,52983,0.45477733542571663
Brahmanbaria,BD2012,Brahamanbaria,Chittagong,1922681900.1620176,1927055876.338417,81467954.9948902,1845587921.3435268,1361248512.2704768,25631484.97358936,1.0022749349104658,0.7375690404819799,51461206.37628126,1931363840.0,1.0045155362607048,0.027883367560630333,5.0,1926335003.347429,2687,1.0019000039398631,1.0437514144246898,1574570544.6969724,1531547674.7703137,1926861328.272369,46613,0.8298427059792404
Chandpur,BD2013,Chandpur,Chittagong,1469436974.2192194,1472951756.808158,86848463.52007872,1386103293.2880793,629237534.1083221,9643918.477081,1.0023919246967403,0.45396150283696446,25298878.010938443,1476231680.0,1.0046240198797167,0.01825179850119617,8.0,1428272492.3775954,2011,0.9719862215502665,1.0304228402700664,291778050.49422574,261651418.91662005,1472924929.904117,12486,0.1887676194000933
Chapainawabganj,BD5070,Nawabganj,Rajshahi,1685473571.435735,1689081581.1347423,104913593.4637981,1584167987.6709442,841296780.4065471,33216964.302907534,1.0021406504143129,0.531065383819192,45004124.37408259,1692859248.0,1.0043819592839855,0.0284086818597111,20.0,1688650398.4965804,2383,1.0018848275729053,1.0659541233245389,735894142.9444727,644060329.1656724,1688993515.1528873,22242,0.40656062625818795
Chattogram,BD2015,Chittagong,Chittagong,4450859178.407481,4462124449.702373,141520353.98964363,4320604095.7127285,1200863922.1821373,112563112.62909083,1.0025310329631507,0.2779388936315032,135997176.55625066,4472054784.0,1.0047621379924454,0.03147642633843695,11.0,4378932087.149512,5849,0.9838397288310289,1.0134999620758267,439276221.2646972,373269396.1705785,4462122674.643246,14190,0.08639287189978091
Chuadanga,BD4018,Chuadanga,Khulna,1165101667.2805793,1167821682.4084992,1802781.4153357868,1166018900.9931633,674537081.1372515,18262988.503602028,1.0023345732001814,0.5784958378999779,33873779.675015055,1170407040.0,1.0045535706182653,0.029050798101268226,15.0,1167761065.89849,1632,1.002282546401395,1.0014941137779523,161847293.99878633,160691803.97048986,1167791247.442918,6051,0.13781234921116603
