method,feature_a,feature_b,correlation
pearson,gfd_ever_flooded_land_share_2000_2018,ghsl_built_surface_share_2020,0.16908589375562227
pearson,gfd_ever_flooded_land_share_2000_2018,travel_time_city_ge_50k_median_2015,-0.2827979641019745
pearson,gfd_ever_flooded_land_share_2000_2018,worldcover_cropland_share_2020,0.567234032659356
pearson,ghsl_built_surface_share_2020,travel_time_city_ge_50k_median_2015,-0.36310365627338775
pearson,ghsl_built_surface_share_2020,worldcover_cropland_share_2020,0.0843196608208865
pearson,travel_time_city_ge_50k_median_2015,worldcover_cropland_share_2020,-0.5722229609982582
spearman,gfd_ever_flooded_land_share_2000_2018,ghsl_built_surface_share_2020,0.2717490842490842
spearman,gfd_ever_flooded_land_share_2000_2018,travel_time_city_ge_50k_median_2015,-0.20927889976853584
spearman,gfd_ever_flooded_land_share_2000_2018,worldcover_cropland_share_2020,0.5708791208791208
spearman,ghsl_built_surface_share_2020,travel_time_city_ge_50k_median_2015,-0.5666487379360905
spearman,ghsl_built_surface_share_2020,worldcover_cropland_share_2020,0.2076007326007326
spearman,travel_time_city_ge_50k_median_2015,worldcover_cropland_share_2020,-0.0707392529003685
