sample,candidate_universe,model,comparator,n_events,n_households,mean_log_loss_improvement,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,share_events_model_lower_loss,bootstrap_replicates
household_lagged_shock_observed,full_64,gis_joint_ridge_shock_interactions,gis_joint_ridge_no_interactions,262,173,0.00974389186568014,-0.011136072042213323,0.030597950173895765,0.5992366412213741,5000
household_lagged_shock_observed,interdistrict_63,gis_joint_ridge_shock_interactions,gis_joint_ridge_no_interactions,106,69,-0.011196263605150785,-0.03861161396430677,0.01434181872355227,0.5377358490566038,5000
household_lagged_shock_yes,full_64,gis_joint_ridge,gravity_mle_disk_within,184,137,0.10808092357814063,0.022700421553779156,0.18887658834762336,0.717391304347826,5000
household_lagged_shock_yes,full_64,gis_joint_unpenalized,gravity_mle_disk_within,184,137,0.10883420220544787,0.01412051335931224,0.19541004854390592,0.7228260869565217,5000
household_lagged_shock_yes,full_64,nested_gis_ridge,nested_gravity,184,137,0.1336047347240847,0.0052817209730963485,0.25954426573196754,0.625,5000
household_lagged_shock_yes,full_64,nested_gis_ridge,gravity_mle_disk_within,184,137,0.1240133556797212,0.015420003435811184,0.23324934933869615,0.5815217391304348,5000
household_lagged_shock_yes,interdistrict_63,gis_joint_ridge,gravity_mle_disk_within,71,50,0.3269330806231262,-0.0010756490934211713,0.6342919912607192,0.7464788732394366,5000
household_lagged_shock_yes,interdistrict_63,gis_joint_unpenalized,gravity_mle_disk_within,71,50,0.25980709446283234,-0.19107019191782376,0.6383019216604343,0.7183098591549296,5000
household_relocation,full_64,gis_joint_ridge,gravity_mle_disk_within,264,174,0.09528511570211469,0.018727762911681375,0.1697015725082373,0.5340909090909091,5000
household_relocation,full_64,gis_joint_unpenalized,gravity_mle_disk_within,264,174,0.09827275118297556,0.017811389722892475,0.17515653305588896,0.5340909090909091,5000
household_relocation,full_64,nested_gis_ridge,nested_gravity,264,174,0.11313949134526112,-0.0009849315442552666,0.22415403058819452,0.5492424242424242,5000
household_relocation,full_64,nested_gis_ridge,gravity_mle_disk_within,264,174,0.12496046315161527,0.014330903935055372,0.22482887260498896,0.5,5000
household_relocation,interdistrict_63,gis_joint_ridge,gravity_mle_disk_within,107,69,0.29455483736066096,-0.00024256149444254122,0.5581647099508779,0.6915887850467289,5000
household_relocation,interdistrict_63,gis_joint_unpenalized,gravity_mle_disk_within,107,69,0.2383319018521421,-0.15525135958689534,0.5588121073025294,0.6635514018691588,5000
