district,district_name_geometry_raw,district_pcode,division,division_name_geometry_raw,central_lon,central_lat,central_point_method,polygon_centroid_inside,area_km2_approx,within_district_mean_pair_km_mc,within_district_disk_proxy_km,geometry_source,geometry_source_url,population_2022_total,population_source,population_source_url,population_pdf_pages
Bagerhat,Bagerhat,BD4001,Khulna,Khulna,89.73956431663798,22.36977996795234,polygon_centroid,True,3619.603861410171,44.41806395009496,30.732873493018324,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,1613076,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
Bandarban,Bandarban,BD2003,Chattogram,Chittagong,92.36382543113957,21.807117016617802,polygon_centroid,True,4544.015742404386,41.589268585081705,34.434403205121264,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,481106,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
Barguna,Barguna,BD1004,Barishal,Barisal,90.12048035991319,22.14112658246076,polygon_centroid,True,1333.6937595456839,21.759162013266042,18.655234233347898,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,1010531,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
Barishal,Barisal,BD1006,Barishal,Barisal,90.34167233806508,22.81144143798014,polygon_centroid,True,2210.2901877555996,27.688320395337115,24.015813078636786,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,2570446,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
Bhola,Bhola,BD1009,Barishal,Barisal,90.73334082882741,22.335697321448375,polygon_centroid,True,1933.863955270499,34.7337340098454,22.463923228237597,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,1932518,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
Bogura,Bogra,BD5010,Rajshahi,Rajshahi,89.37879178145363,24.82445808503593,polygon_centroid,True,2944.7145673185587,28.35538842064208,27.720065313681488,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,3734297,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
Brahmanbaria,Brahamanbaria,BD2012,Chattogram,Chittagong,91.08348432888928,23.952995668273747,polygon_centroid,True,1930.8240222800523,26.26405068481522,22.4462602279894,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,3306563,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
Chandpur,Chandpur,BD2013,Chattogram,Chittagong,90.77101383633722,23.273564441636832,polygon_centroid,True,1468.1986112445593,22.178885305111216,19.573345011379597,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,2635748,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
Chapainawabganj,Nawabganj,BD5070,Rajshahi,Rajshahi,88.26411261626886,24.715698785557542,polygon_centroid,True,1702.6018614917994,22.295133480067,21.07799022507237,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,1835528,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
Chattogram,Chittagong,BD2015,Chattogram,Chittagong,91.83436892133959,22.443264467303184,polygon_centroid,True,4420.680318314582,47.10293366644002,33.96387249725103,Bangladesh DGHS hosted BBS 2020 ADM2 layer,https://gis.dghs.gov.bd/server/rest/services/Hosted/bgd_admbnda_adm2_bbs_20201113/FeatureServer/0,9169465,"BBS Population and Housing Census 2022, National Report Volume I, Table P02",https://objectstorage.ap-dcc-gazipur-1.oraclecloud15.com/n/axvjbnqprylg/b/V2Ministry/o/office-bbs/2024/12/9ce5bd160bb14a1ab1eabe886adddb9a.pdf,PDF pages 199-200 (printed pages 151-152)
