origin_district,origin_pcode,destination_district,destination_pcode,same_district,centroid_haversine_km,effective_distance_km,distance_1km_floor_km,distance_disk_proxy_km,destination_population_2022,origin_population_2022,intervening_population_2022,radiation_score_adapted,gravity_fixed_score_pop_over_d2,log_effective_distance_km,log_destination_population_2022
Bagerhat,BD4001,Bagerhat,BD4001,True,0.0,44.41806395009496,1.0,30.732873493018324,1613076,1613076,0,0.5,817.5900162471025,3.793646232421758,14.293653473170336
Bagerhat,BD4001,Bandarban,BD2003,False,277.52706361776984,277.52706361776984,277.52706361776984,277.52706361776984,481106,1613076,122515525,5.0173207676407716e-05,6.246404317948213,5.625918454981607,13.08384289902944
Bagerhat,BD4001,Barguna,BD1004,False,46.723923222585036,46.723923222585036,46.723923222585036,46.723923222585036,1010531,1613076,3811580,0.046695077007918855,462.8827938819874,3.8442563080805816,13.825986493237492
Bagerhat,BD4001,Barishal,BD1006,False,78.94836967139695,78.94836967139695,78.94836967139695,78.94836967139695,2570446,1613076,9407107,0.027684389489861256,412.403319764308,4.3687940903478,14.759589982670962
Bagerhat,BD4001,Bhola,BD1009,False,102.26992120867489,102.26992120867489,102.26992120867489,102.26992120867489,1932518,1613076,17137425,0.008038066044111312,184.7684029671565,4.627615604393013,14.474334373759973
Bagerhat,BD4001,Bogura,BD5010,False,275.412020680092,275.412020680092,275.412020680092,275.412020680092,3734297,1613076,118781228,0.00040307502008819573,49.2315004884229,5.618268233417865,15.133070139288687
Bagerhat,BD4001,Brahmanbaria,BD2012,False,223.30896266992397,223.30896266992397,223.30896266992397,223.30896266992397,3306563,1613076,93990424,0.0005640496849725811,66.30778084938073,5.408556295389148,15.011419839295048
Bagerhat,BD4001,Chandpur,BD2013,False,145.85777851764607,145.85777851764607,145.85777851764607,145.85777851764607,2635748,1613076,28797323,0.0042307344465589555,123.89240858222567,4.982632027203207,14.784677570641602
Bagerhat,BD4001,Chapainawabganj,BD5070,False,301.10159660524187,301.10159660524187,301.10159660524187,301.10159660524187,1835528,1613076,132964707,0.00016128193441178549,20.245797889815996,5.707447738048328,14.422842736501666
Bagerhat,BD4001,Chattogram,BD2015,False,215.49942271707764,215.49942271707764,215.49942271707764,215.49942271707764,9169465,1613076,80783351,0.0019604542718700316,197.4475616873862,5.3729582307331505,16.031389500109725
Bagerhat,BD4001,Chuadanga,BD4018,False,165.21350873189786,165.21350873189786,165.21350873189786,165.21350873189786,1234054,1613076,37873747,0.0012379972441253976,45.21088982546641,5.107238629728585,14.025815242619684
Bagerhat,BD4001,Cox's Bazar,BD2022,False,259.2068252701672,259.2068252701672,259.2068252701672,259.2068252701672,2823268,1613076,109411369,0.00036029979386661737,42.020308822718,5.557626296192267,14.853405637196515
Bagerhat,BD4001,Cumilla,BD2019,False,177.92259932147223,177.92259932147223,177.92259932147223,177.92259932147223,6212216,1613076,59309665,0.00245004029854609,196.2385464956915,5.1813486204511845,15.642028234056378
Bagerhat,BD4001,Dhaka,BD3026,False,166.0339976338009,166.0339976338009,166.0339976338009,166.0339976338009,14734701,1613076,40665826,0.009860387212868166,534.4994691569112,5.1121925724097546,16.50571588212586
Bagerhat,BD4001,Dinajpur,BD5527,False,375.19673594376974,375.19673594376974,375.19673594376974,375.19673594376974,3315236,1613076,151666432,0.00022279631349129476,23.550294729886534,5.92745051758402,15.014039370621646
Bagerhat,BD4001,Faridpur,BD3029,False,123.75201581206136,123.75201581206136,123.75201581206136,123.75201581206136,2162879,1613076,22690647,0.005423954782408679,141.23022795295955,4.8182796907065235,14.586950762547518
Bagerhat,BD4001,Feni,BD2030,False,185.35444569276606,185.35444569276606,185.35444569276606,185.35444569276606,1648896,1613076,65521881,0.0005759872624111265,47.99403352505168,5.222269914703032,14.315616531026453
Bagerhat,BD4001,Gaibandha,BD5532,False,326.5500901820194,326.5500901820194,326.5500901820194,326.5500901820194,2562233,1613076,139381966,0.00020419467049560025,24.028076405819558,5.7885833525146655,14.756389701878161
Bagerhat,BD4001,Gazipur,BD3033,False,205.2853469713243,205.2853469713243,205.2853469713243,205.2853469713243,5263450,1613076,72935449,0.0014269810916401945,124.8977456549782,5.324400947738374,15.476297263245858
