dataset,sample,sample_label,candidate_universe,validation_scheme,n_events_evaluated,gravity_mean_log_loss,mean_log_loss,log_loss_improvement_vs_gravity,cluster_bootstrap_ci_low,cluster_bootstrap_ci_high,top1_accuracy,mean_rank
BEMP,household_lagged_shock_yes,BEMP shock-linked household relocations,full_64,household_grouped_5fold,184,1.6303126185338768,1.5222316949557362,0.1080809235781405,0.0227004215537791,0.1888765883476233,0.6141304347826086,2.972826086956522
BEMP,household_lagged_shock_yes,BEMP shock-linked household relocations,interdistrict_63,household_grouped_5fold,71,2.484221856900892,2.1572887762777655,0.3269330806231263,-0.0010756490934211,0.6342919912607192,0.4225352112676056,5.774647887323944
BEMP,household_lagged_shock_yes,BEMP shock-linked household relocations,full_64,leave_one_origin_out,184,1.686899657614474,1.8134048744369795,-0.1265052168225058,,,0.5271739130434783,3.5
BEMP,household_lagged_shock_yes,BEMP shock-linked household relocations,interdistrict_63,leave_one_origin_out,71,2.771589818420363,2.54795093490377,0.223638883516593,,,0.4225352112676056,5.732394366197183
BEMP,household_relocation,BEMP all household relocations,full_64,household_grouped_5fold,264,1.7117888082880934,1.6165036925859786,0.0952851157021148,0.0187277629116813,0.1697015725082373,0.5984848484848485,3.1742424242424243
BEMP,household_relocation,BEMP all household relocations,interdistrict_63,household_grouped_5fold,107,2.518454077508641,2.2238992401479805,0.2945548373606605,-0.0002425614944425,0.5581647099508779,0.411214953271028,5.97196261682243
BEMP,household_relocation,BEMP all household relocations,full_64,leave_one_origin_out,264,1.7670636087487577,2.045401855781383,-0.2783382470326256,,,0.2765151515151515,4.143939393939394
BEMP,household_relocation,BEMP all household relocations,interdistrict_63,leave_one_origin_out,107,2.7734705365227272,2.4969873641113813,0.2764831724113459,,,0.411214953271028,5.878504672897196
BIHS,b4_all,BIHS all household relocations,full_64,household_grouped_5fold,526,2.2057386096554654,2.1479739376847102,0.0577646719707551,0.029688292690886,0.0878730514552467,0.5437262357414449,6.2072243346007605
BIHS,b4_all,BIHS all household relocations,interdistrict_63,household_grouped_5fold,236,3.2534619782332324,3.137720911036166,0.1157410671970664,0.0563197235605772,0.179065075796783,0.288135593220339,11.483050847457626
BIHS,b4_all,BIHS all household relocations,full_64,leave_one_origin_out,526,2.2220928349284232,2.1948164888279917,0.0272763461004315,-0.0034120149024492,0.059003308994819,0.5399239543726235,6.330798479087452
BIHS,b4_all,BIHS all household relocations,interdistrict_63,leave_one_origin_out,236,3.2756062431593365,3.1933398989644295,0.0822663441949069,0.0201427162305692,0.1463165727861567,0.2076271186440678,11.76271186440678
BIHS,b4_erosion,BIHS river-erosion household relocations,full_64,household_grouped_5fold,123,2.5631821187155355,2.4651819689709136,0.0980001497446219,0.0276147705515086,0.1627449730889798,0.4146341463414634,8.089430894308943
BIHS,b4_erosion,BIHS river-erosion household relocations,interdistrict_63,household_grouped_5fold,71,3.255834868764882,3.0736306954848995,0.1822041732799824,0.076070684295713,0.2871614523004939,0.4507042253521127,12.338028169014084
BIHS,b4_erosion,BIHS river-erosion household relocations,full_64,leave_one_origin_out,123,2.6198163479552248,2.6356030405275384,-0.0157866925723135,-0.0864948208599476,0.0452695120395006,0.4146341463414633,8.317073170731707
BIHS,b4_erosion,BIHS river-erosion household relocations,interdistrict_63,leave_one_origin_out,71,3.368941070204265,3.310524172838926,0.0584168973653391,-0.0344493861251664,0.1396224168125221,0.4507042253521127,12.591549295774648
BIHS,v1_interval,BIHS interval-specific current migrants,full_64,household_grouped_5fold,1857,2.0597556247312307,1.9516270454112128,0.1081285793200179,0.0816724579176668,0.1350387356595655,0.4512654819601507,4.159935379644588
BIHS,v1_interval,BIHS interval-specific current migrants,interdistrict_63,household_grouped_5fold,1208,2.0212402614229306,1.9128633147334255,0.1083769466895048,0.0727483721348878,0.1451480638958603,0.6018211920529801,4.951158940397351
BIHS,v1_interval,BIHS interval-specific current migrants,full_64,leave_one_origin_out,1857,2.067488447249305,1.966822770084813,0.1006656771644918,0.0738304453562997,0.128218579157875,0.4410339256865913,4.180936995153473
BIHS,v1_interval,BIHS interval-specific current migrants,interdistrict_63,leave_one_origin_out,1208,2.025525782951022,1.9187598921709843,0.1067658907800368,0.073077869341412,0.1442708475622895,0.6018211920529801,4.968543046357616
BIHS,v1_interval,BIHS interval-specific current migrants,full_64,wave_holdout_r3,1383,2.089771171375191,1.9958560603227693,0.0939151110524219,,,0.4121475054229935,4.135213304410701
BIHS,v1_interval,BIHS interval-specific current migrants,interdistrict_63,wave_holdout_r3,842,2.0526020908604043,1.940527653402429,0.1120744374579754,,,0.5973871733966746,5.102137767220903
