claim_id,dataset,sample,candidate_universe,validation_scheme,n_events,gravity_log_loss,gis_log_loss,gis_gain,cluster_95_interval,source_file,release_status,model,chosen_probability,chosen_rank,network_help_count
C01,BEMP,household_lagged_shock_yes,full_64,household_grouped_5fold,184,1.630,1.522,0.108,"[0.023, 0.189]",outputs/tables/cross_dataset_replication_summary.csv,FROZEN,,,,
C02,BIHS,b4_erosion,full_64,household_grouped_5fold,123,2.563,2.465,0.098,"[0.028, 0.163]",outputs/tables/cross_dataset_replication_summary.csv,FROZEN,,,,
C03,BIHS,b4_erosion,interdistrict_63,household_grouped_5fold,71,3.256,3.074,0.182,"[0.076, 0.287]",outputs/tables/cross_dataset_replication_summary.csv,FROZEN,,,,
C04,BIHS,v1_interval,full_64,household_grouped_5fold,1857,2.060,1.952,0.108,"[0.082, 0.135]",outputs/tables/cross_dataset_replication_summary.csv,FROZEN,,,,
C05,BIHS,v1_interval,interdistrict_63,household_grouped_5fold,1208,2.021,1.913,0.108,"[0.073, 0.145]",outputs/tables/cross_dataset_replication_summary.csv,FROZEN,,,,
C06,BIHS,v1_interval,full_64,leave_one_origin_out,1857,2.067,1.967,0.101,"[0.074, 0.128]",outputs/tables/cross_dataset_replication_summary.csv,FROZEN,,,,
C07,BIHS,v1_interval,interdistrict_63,leave_one_origin_out,1208,2.026,1.919,0.107,"[0.073, 0.144]",outputs/tables/cross_dataset_replication_summary.csv,FROZEN,,,,
C08,BIHS,b4_erosion,full_64,leave_one_origin_out,123,2.620,2.636,-0.016,"[-0.086, 0.045]",outputs/tables/cross_dataset_replication_summary.csv,FROZEN,,,,
C09,BIHS,b4_erosion,interdistrict_63,leave_one_origin_out,71,3.369,3.311,0.058,"[-0.034, 0.140]",outputs/tables/cross_dataset_replication_summary.csv,FROZEN,,,,
C10,BIHS,v1_interval,full_64,wave_holdout_r3,1383,2.090,1.996,0.094,,outputs/tables/cross_dataset_replication_summary.csv,FROZEN,,,,
C11,BIHS,v1_interval,interdistrict_63,wave_holdout_r3,842,2.053,1.941,0.112,,outputs/tables/cross_dataset_replication_summary.csv,FROZEN,,,,
H01,BIHS,anonymized_household_illustration,full_64,household_grouped_5fold,1,,,,,outputs/tables/bihs_replication_oof_predictions_grouped.csv,FROZEN,gravity_mle_disk_within,7.0%,6,
H02,BIHS,anonymized_household_illustration,full_64,household_grouped_5fold,1,,,,,outputs/tables/bihs_replication_oof_predictions_grouped.csv,FROZEN,gis_joint_ridge,13.7%,2,
N01,BIHS,v1_interval,,descriptive,1857,,,,,outputs/tables/bihs_internal_migration_events.csv,FROZEN,,,,1815.0
